country	iso	f1980	f1996	f2006	f2012	m1980	m1996	m2006	m2012
Macedonia	MKD	25.6	27.0	26.5	26.7	44.5	47.7	46.9	46.5
Mali	MLI	3.7	3.6	3.9	3.9	18.7	19.0	18.7	18.7
Malta	MLT	21.0	22.0	18.7	18.9	31.5	34.0	27.4	27.7
Myanmar	MMR	7.6	7.3	7.8	6.6	41.6	40.7	32.7	30.6
Montenegro	MNE	19.7	20.1	20.4	20.2	35.4	36.5	35.9	34.6
Mongolia	MNG	5.5	5.6	5.8	6.3	41.3	41.5	43.7	45.0
Mozambique	MOZ	4.1	4.2	4.4	4.2	23.3	22.7	23.2	22.3
Mauritania	MRT	3.1	3.3	3.7	3.8	15.7	17.7	20.8	21.7
Mauritius	MUS	3.6	3.0	2.7	2.8	41.2	38.0	31.4	33.8
Malawi	MWI	4.6	5.1	3.2	2.7	28.3	27.5	23.1	21.8
Malaysia	MYS	2.4	2.1	1.7	1.3	46.3	41.3	37.3	37.9
Namibia	NAM	12.1	12.8	10.0	9.9	28.2	29.4	24.5	24.5
Niger	NER	2.5	2.7	2.1	1.6	8.0	8.1	8.0	8.8
Nigeria	NGA	4.2	3.3	1.4	1.4	14.8	12.5	8.7	7.5
Nicaragua	NIC	6.7	5.5	5.5	5.6	27.7	18.6	17.1	17.3
Netherlands	NLD	25.9	25.3	22.2	20.2	34.5	29.9	25.0	22.4
Norway	NOR	32.8	31.5	21.4	16.2	39.7	32.5	21.4	17.2
Nepal	NPL	22.4	26.9	21.1	16.9	50.8	53.0	40.3	37.4
New Zealand	NZL	31.0	25.6	19.8	17.4	34.8	25.8	21.2	18.4
Oman	OMN	1.5	1.2	0.8	0.9	16.8	15.0	12.2	12.9
Pakistan	PAK	6.5	6.3	5.8	5.4	36.6	35.7	31.6	28.0
Panama	PAN	4.5	4.1	3.2	3.3	17.6	16.5	13.1	13.8
Peru	PER	5.7	5.7	5.2	4.5	15.7	15.8	17.7	17.9
Philippines	PHL	10.7	11.4	8.2	8.1	49.5	49.7	40.7	39.8
Papua New Guinea	PNG	21.6	21.4	22.0	21.6	52.3	51.7	51.9	51.4
Poland	POL	29.4	23.7	28.4	24.1	56.5	44.2	32.7	31.3
North Korea	PRK	4.0	3.1	2.6	2.6	47.8	47.0	46.0	45.8
Portugal	PRT	9.2	10.0	15.4	15.9	37.1	33.3	32.3	31.7
