File: IHME_GBD_2015_SMOKING_PREVALENCE_1990_2015_ANNUALIZED_RATE_OF_CHANGE_Y2017M04D05.CSV,,,,,,,,,,,,,,,,
Variable:,location_id,location_name,sex_id,sex_label,age_group_id,age_group_name,measure,mean_1990_2015,lower_1990_2015,upper_1990_2015,mean_1990_2005,lower_1990_2005,upper_1990_2005,mean_2005_2015,lower_2005_2015,upper_2005_2015
Label:,Location ID,Location name,Sex ID,Sex,Age group ID,Age group name,measure,Annualized rate of change 1990-2015: mean,Annualized rate of change 1990-2015: 95% uncertainty interval - lower bound,Annualized rate of change 1990-2015: 95% uncertainty interval - upper bound,Annualized rate of change 1990-2005: mean,Annualized rate of change 1990-2005: 95% uncertainty interval - lower bound,Annualized rate of change 1990-2005: 95% uncertainty interval - upper bound,Annualized rate of change 2005-2015: mean,Annualized rate of change 2005-2015: 95% uncertainty interval - lower bound,Annualized rate of change 2005-2015: 95% uncertainty interval - upper bound
,143,Iraq,,,,,,,,,,,,,,
,144,Jordan,,,,,,,,,,,,,,
,145,Kuwait,,,,,,,,,,,,,,
,146,Lebanon,,,,,,,,,,,,,,
,147,Libya,,,,,,,,,,,,,,
,148,Morocco,,,,,,,,,,,,,,
,149,Palestine,,,,,,,,,,,,,,
,150,Oman,,,,,,,,,,,,,,
,151,Qatar,,,,,,,,,,,,,,
,152,Saudi Arabia,,,,,,,,,,,,,,
,153,Syria,,,,,,,,,,,,,,
,154,Tunisia,,,,,,,,,,,,,,
,155,Turkey,,,,,,,,,,,,,,
,156,United Arab Emirates,,,,,,,,,,,,,,
,157,Yemen,,,,,,,,,,,,,,
,158,South Asia,,,,,,,,,,,,,,
,159,South Asia,,,,,,,,,,,,,,
,160,Afghanistan,,,,,,,,,,,,,,
,161,Bangladesh,,,,,,,,,,,,,,
,162,Bhutan,,,,,,,,,,,,,,
,163,India,,,,,,,,,,,,,,
,164,Nepal,,,,,,,,,,,,,,
,165,Pakistan,,,,,,,,,,,,,,
,166,Sub-Saharan Africa,,,,,,,,,,,,,,
,167,Central Sub-Saharan Africa,,,,,,,,,,,,,,
,168,Angola,,,,,,,,,,,,,,
,169,Central African Republic,,,,,,,,,,,,,,
,170,Congo,,,,,,,,,,,,,,
,171,Democratic Republic of the Congo,,,,,,,,,,,,,,
,172,Equatorial Guinea,,,,,,,,,,,,,,
,173,Gabon,,,,,,,,,,,,,,
,174,Eastern Sub-Saharan Africa,,,,,,,,,,,,,,
,175,Burundi,,,,,,,,,,,,,,
,176,Comoros,,,,,,,,,,,,,,
,177,Djibouti,,,,,,,,,,,,,,
,178,Eritrea,,,,,,,,,,,,,,
,179,Ethiopia,,,,,,,,,,,,,,
,180,Kenya,,,,,,,,,,,,,,
,181,Madagascar,,,,,,,,,,,,,,
,182,Malawi,,,,,,,,,,,,,,
,183,Mauritius,,,,,,,,,,,,,,
,184,Mozambique,,,,,,,,,,,,,,
,185,Rwanda,,,,,,,,,,,,,,
,186,Seychelles,,,,,,,,,,,,,,
,187,Somalia,,,,,,,,,,,,,,
,189,Tanzania,,,,,,,,,,,,,,
,190,Uganda,,,,,,,,,,,,,,
,191,Zambia,,,,,,,,,,,,,,
,192,Southern Sub-Saharan Africa,,,,,,,,,,,,,,
,193,Botswana,,,,,,,,,,,,,,
,194,Lesotho,,,,,,,,,,,,,,
,195,Namibia,,,,,,,,,,,,,,
,196,South Africa,,,,,,,,,,,,,,
,197,Swaziland,,,,,,,,,,,,,,
,198,Zimbabwe,,,,,,,,,,,,,,
