location_id,location_name,sex_id,sex,age_group_id,age_group_name,measure,mean_1990_2015,lower_1990_2015,upper_1990_2015,mean_1990_2005,lower_1990_2005,upper_1990_2005,mean_2005_2015,lower_2005_2015,upper_2005_2015
19,Timor-Leste,1,Male,27,Age-standardized,Daily smoking prevalence,-0.000602888,-0.005099389,0.003960492,0.001588839,-0.005302569,0.009394188,-0.003890479,-0.012365039,0.005684611
19,Timor-Leste,2,Female,27,Age-standardized,Daily smoking prevalence,0.045179769,0.028395528,0.063078165,0.036687426,0.0033588,0.070172101,0.057918284,0.023103179,0.094950564
19,Timor-Leste,3,Both,27,Age-standardized,Daily smoking prevalence,0.006364984,0.001947796,0.010985583,0.00552986,-0.001270035,0.013334976,0.007617669,-0.001361406,0.017651111
20,Vietnam,1,Male,27,Age-standardized,Daily smoking prevalence,-0.014562876,-0.019133316,-0.01020062,-0.017627081,-0.023062423,-0.011888325,-0.009966567,-0.020575091,0.000315309
20,Vietnam,2,Female,27,Age-standardized,Daily smoking prevalence,-0.043656204,-0.061032269,-0.027407948,-0.074663661,-0.095832594,-0.05214392,0.002854987,-0.036998045,0.042115156
20,Vietnam,3,Both,27,Age-standardized,Daily smoking prevalence,-0.016003409,-0.020389024,-0.01171027,-0.020418895,-0.02572058,-0.015083089,-0.00938018,-0.020106412,0.000681184
21,Oceania,1,Male,27,Age-standardized,Daily smoking prevalence,-0.003832139,-0.008398742,0.000714725,6.99E-05,-0.005946969,0.006196448,-0.009685243,-0.019277601,-0.000366047
21,Oceania,2,Female,27,Age-standardized,Daily smoking prevalence,-0.001274421,-0.009443417,0.007204532,0.009730636,-0.001143675,0.021069398,-0.017782006,-0.034499817,-0.001334165
21,Oceania,3,Both,27,Age-standardized,Daily smoking prevalence,-0.003310716,-0.007196251,0.000688406,0.002465925,-0.002534468,0.007894517,-0.011975677,-0.020514274,-0.004357971
22,Fiji,1,Male,27,Age-standardized,Daily smoking prevalence,-0.004724893,-0.012760835,0.003363826,-0.004298788,-0.01760368,0.009295939,-0.005364052,-0.022100605,0.010548204
22,Fiji,2,Female,27,Age-standardized,Daily smoking prevalence,-0.001596373,-0.01347167,0.010468574,-0.005119356,-0.02307507,0.014018101,0.003688101,-0.021484943,0.027943907
